Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
283,1021.55,143,19,Tuesday,0,0,0,0,0,1,0
283,1231.84,173,19,Wednesday,0,0,0,0,0,0,1
283,1041.83,162,20,Friday,1,0,0,0,0,0,0
283,956.54,140,20,Monday,0,1,0,0,0,0,0
283,1061.1,131,20,Saturday,0,0,1,0,0,0,0
283,896.29,97,20,Sunday,0,0,0,1,0,0,0
283,1324.81,191,20,Thursday,0,0,0,0,1,0,0
283,1331.91,185,20,Tuesday,0,0,0,0,0,1,0
283,1423.36,169,20,Wednesday,0,0,0,0,0,0,1
283,1223.66,150,21,Friday,1,0,0,0,0,0,0
283,449.38,59,21,Monday,0,1,0,0,0,0,0
283,1008.02,117,21,Saturday,0,0,1,0,0,0,0
283,1000.03,131,21,Sunday,0,0,0,1,0,0,0
283,1358.53,178,21,Thursday,0,0,0,0,1,0,0
283,1113.5,158,21,Tuesday,0,0,0,0,0,1,0
283,1377.32,177,21,Wednesday,0,0,0,0,0,0,1
283,1342.82,178,22,Friday,1,0,0,0,0,0,0
283,1545.53,219,22,Monday,0,1,0,0,0,0,0
283,1323.39,168,22,Saturday,0,0,1,0,0,0,0
283,1075.31,130,22,Sunday,0,0,0,1,0,0,0
283,0,0,22,Thursday,0,0,0,0,1,0,0
283,2623.35,338,22,Tuesday,0,0,0,0,0,1,0
283,0,0,22,Wednesday,0,0,0,0,0,0,1
283,1562.13,185,23,Friday,1,0,0,0,0,0,0
283,1171.63,165,23,Monday,0,1,0,0,0,0,0
283,1153.25,146,23,Saturday,0,0,1,0,0,0,0
283,980.78,115,23,Sunday,0,0,0,1,0,0,0
